id,name,creation-date,# lines,# lines-babel,tajs-precision,tajs-babel-precision,safe-precision,safe-babel-precision,jsa-es12-precision
0,built-ins/Array/15.4.5-1.js,2018/02/01,172,236,1,1,1,1,1
1,built-ins/Array/15.4.5.1-5-1.js,2018/02/01,174,238,0,0,1,1,1
2,built-ins/Array/15.4.5.1-5-2.js,2018/02/01,174,238,0,0,1,1,1
3,built-ins/Array/S15.4.1_A1.1_T1.js,2018/01/01,180,244,0.5,0.5,1,1,1
4,built-ins/Array/S15.4.1_A1.1_T2.js,2018/02/01,191,257,1,1,1,1,1
5,built-ins/Array/S15.4.1_A1.1_T3.js,2018/01/01,179,244,0,0,1,1,1
6,built-ins/Array/S15.4.1_A1.2_T1.js,2018/02/01,188,254,1,1,1,1,1
7,built-ins/Array/S15.4.1_A1.3_T1.js,2018/01/01,182,245,1,1,1,1,1
8,built-ins/Array/S15.4.1_A2.1_T1.js,2018/02/01,190,253,1,1,1,1,1
9,built-ins/Array/S15.4.1_A2.2_T1.js,2018/02/01,288,354,0.980769231,0.980769231,1,1,0
10,built-ins/Array/S15.4.1_A3.1_T1.js,2018/02/01,183,267,1,1,1,1,1
11,built-ins/Array/S15.4.2.1_A1.1_T1.js,2018/02/01,191,256,1,1,1,1,1
12,built-ins/Array/S15.4.2.1_A1.1_T2.js,2018/02/01,191,257,1,1,1,1,1
13,built-ins/Array/S15.4.2.1_A1.1_T3.js,2018/01/01,179,244,0,0,1,1,1
14,built-ins/Array/S15.4.2.1_A1.2_T1.js,2018/02/01,188,254,1,1,1,1,1
15,built-ins/Array/S15.4.2.1_A1.3_T1.js,2018/01/01,182,245,1,1,1,1,1
16,built-ins/Array/S15.4.2.1_A2.1_T1.js,2018/02/01,191,254,1,1,1,1,1
17,built-ins/Array/S15.4.2.1_A2.2_T1.js,2018/02/01,288,354,0.980769231,0.980769231,1,1,0
18,built-ins/Array/S15.4.3_A1.1_T1.js,2018/01/01,190,253,1,1,1,1,1
19,built-ins/Array/S15.4.3_A1.1_T2.js,2018/01/01,179,245,1,1,1,1,1
20,built-ins/Array/S15.4.3_A1.1_T3.js,2018/01/01,178,243,0,0,1,1,1
21,built-ins/Array/S15.4.5.1_A1.2_T2.js,2018/02/01,190,256,1,1,1,1,1
22,built-ins/Array/S15.4.5.1_A2.1_T1.js,2018/02/01,208,274,0,0,1,1,1
23,built-ins/Array/S15.4.5.1_A2.2_T1.js,2018/02/01,195,261,1,1,1,1,1
24,built-ins/Array/S15.4.5.1_A2.3_T1.js,2018/02/01,188,254,1,1,1,1,1
25,built-ins/Array/S15.4.5.2_A1_T1.js,2018/02/01,207,273,0,0,1,1,1
26,built-ins/Array/S15.4.5.2_A1_T2.js,2018/02/01,189,255,0,0,1,1,1
27,built-ins/Array/S15.4.5.2_A2_T1.js,2018/02/01,197,263,1,1,1,1,1
28,built-ins/Array/S15.4.5.2_A3_T1.js,2018/02/01,194,259,1,1,1,1,1
29,built-ins/Array/S15.4.5.2_A3_T2.js,2018/02/01,228,292,1,1,0,0,1
30,built-ins/Array/S15.4.5.2_A3_T3.js,2018/02/01,193,258,1,1,1,1,1
31,built-ins/Array/S15.4_A1.1_T10.js,2018/02/01,186,254,0,0,1,1,1
32,built-ins/Array/S15.4_A1.1_T4.js,2018/02/01,184,250,1,1,1,1,1
33,built-ins/Array/S15.4_A1.1_T5.js,2018/02/01,197,261,1,1,1,1,1
34,built-ins/Array/S15.4_A1.1_T6.js,2018/02/01,198,262,1,1,0,0,1
35,built-ins/Array/S15.4_A1.1_T7.js,2018/02/01,193,259,0,0,0,0,1
36,built-ins/Array/S15.4_A1.1_T8.js,2018/02/01,193,259,1,1,0,0,1
37,built-ins/Array/S15.4_A1.1_T9.js,2018/02/01,336,400,0.75,0.75,0,0,1
38,built-ins/Array/Symbol.species/length.js,2018/01/01,463,546,0,0,0,0,1
39,built-ins/Array/Symbol.species/return-value.js,2019/08/01,174,239,0,0,0,0,1
40,built-ins/Array/Symbol.species/symbol-species-name.js,2018/01/01,453,537,0,0,0,0,1
41,built-ins/Array/Symbol.species/symbol-species.js,2019/08/01,452,555,0,0,0,0,1
42,built-ins/Array/constructor.js,2017/04/01,170,258,1,1,1,1,1
43,built-ins/Array/from/Array.from-descriptor.js,2019/08/01,444,529,0,0,0,0,1
44,built-ins/Array/from/Array.from-name.js,2019/08/01,461,546,0,0,0,0,1
45,built-ins/Array/from/Array.from_arity.js,2019/08/01,452,537,0,0,0,0,1
46,built-ins/Array/from/Array.from_forwards-length-for-array-likes.js,2019/08/01,196,261,0,0,0,0,1
47,built-ins/Array/from/calling-from-valid-1-onlyStrict.js,2019/08/01,226,287,0,0,0,0,1
48,built-ins/Array/from/calling-from-valid-2.js,2019/08/01,227,287,0,0,0,0,1
49,built-ins/Array/from/elements-added-after.js,2019/08/01,205,269,0,0,0,0,1
50,built-ins/Array/from/elements-updated-after.js,2019/08/01,191,258,0,0,0,0,1
51,built-ins/Array/from/from-array.js,2019/08/01,184,246,0,0,0,0,1
52,built-ins/Array/from/get-iter-method-err.js,2019/08/01,182,247,0,0,0,0,1
53,built-ins/Array/from/items-is-null-throws.js,2019/08/01,177,243,1,1,1,1,1
54,built-ins/Array/from/iter-adv-err.js,2019/08/01,188,255,0,0,0,0,1
55,built-ins/Array/from/iter-cstm-ctor-err.js,2019/08/01,186,254,0,0,0,0,1
56,built-ins/Array/from/iter-cstm-ctor.js,2019/08/01,209,277,0,0,0,0,1
57,built-ins/Array/from/iter-get-iter-err.js,2019/08/01,182,249,0,0,0,0,1
58,built-ins/Array/from/iter-get-iter-val-err.js,2019/08/01,194,261,0,0,0,0,1
59,built-ins/Array/from/iter-map-fn-args.js,2019/08/01,235,299,0,0,0,0,1
60,built-ins/Array/from/iter-map-fn-err.js,2019/08/01,201,269,0,0,0,0,1
61,built-ins/Array/from/iter-map-fn-return.js,2019/08/01,226,292,0,0,0,0,1
62,built-ins/Array/from/iter-map-fn-this-arg.js,2019/08/01,217,283,0,0,0,0,1
63,built-ins/Array/from/iter-map-fn-this-strict.js,2019/08/01,217,283,0,0,0,0,1
64,built-ins/Array/from/iter-set-elem-prop-err.js,2020/02/01,212,276,0,0,0,0,1
65,built-ins/Array/from/iter-set-elem-prop-non-writable.js,2020/02/01,474,570,0,0,0,0,1
66,built-ins/Array/from/iter-set-elem-prop.js,2019/08/01,210,273,0,0,0,0,1
67,built-ins/Array/from/iter-set-length-err.js,2019/08/01,197,265,0,0,0,0,1
68,built-ins/Array/from/iter-set-length.js,2019/08/01,206,270,0,0,0,0,1
69,built-ins/Array/from/mapfn-is-not-callable-typeerror.js,2019/08/01,194,256,1,1,1,1,1
70,built-ins/Array/from/mapfn-is-symbol-throws.js,2019/08/01,180,246,1,1,0,0,1
71,built-ins/Array/from/mapfn-throws-exception.js,2018/02/01,178,243,0,0,0,0,1
72,built-ins/Array/from/source-array-boundary.js,2018/02/01,218,281,0,0,0,0,1
73,built-ins/Array/from/source-object-constructor.js,2017/06/01,171,236,0,0,0,0,1
74,built-ins/Array/from/source-object-length-set-elem-prop-err.js,2020/02/01,212,277,1,1,1,1,1
75,built-ins/Array/from/source-object-length-set-elem-prop-non-writable.js,2020/02/01,477,561,0,0,0,0,1
76,built-ins/Array/from/source-object-length.js,2018/02/01,185,251,0,0,0,0,1
77,built-ins/Array/from/source-object-missing.js,2018/02/01,186,271,0,0,0,0,1
78,built-ins/Array/from/source-object-without.js,2018/02/01,178,242,0,0,0,0,1
79,built-ins/Array/from/this-null.js,2017/06/01,172,237,0,0,0,0,1
80,built-ins/Array/isArray/15.4.3.2-0-1.js,2017/06/01,172,256,1,1,1,1,1
81,built-ins/Array/isArray/15.4.3.2-0-2.js,2017/06/01,170,235,1,1,1,1,1
82,built-ins/Array/isArray/15.4.3.2-0-3.js,2017/06/01,173,237,1,1,1,1,1
83,built-ins/Array/isArray/15.4.3.2-0-4.js,2019/08/01,181,245,1,1,1,1,1
84,built-ins/Array/isArray/15.4.3.2-0-5.js,2017/06/01,174,238,1,1,1,1,1
85,built-ins/Array/isArray/15.4.3.2-0-6.js,2017/06/01,173,237,1,1,1,1,1
86,built-ins/Array/isArray/15.4.3.2-0-7.js,2017/06/01,174,238,1,1,1,1,1
87,built-ins/Array/isArray/15.4.3.2-1-1.js,2017/06/01,170,235,1,1,1,1,1
88,built-ins/Array/isArray/15.4.3.2-1-11.js,2017/06/01,170,235,1,1,1,1,1
89,built-ins/Array/isArray/15.4.3.2-1-13.js,2018/02/01,176,241,1,1,1,1,1
90,built-ins/Array/isArray/15.4.3.2-1-15.js,2017/06/01,170,235,1,1,1,1,1
91,built-ins/Array/isArray/15.4.3.2-1-2.js,2017/06/01,174,239,1,1,1,1,1
92,built-ins/Array/isArray/15.4.3.2-1-3.js,2017/06/01,170,235,1,1,1,1,1
93,built-ins/Array/isArray/15.4.3.2-1-4.js,2017/06/01,174,239,1,1,1,1,1
94,built-ins/Array/isArray/15.4.3.2-1-5.js,2017/06/01,170,235,1,1,1,1,1
95,built-ins/Array/isArray/15.4.3.2-1-6.js,2017/06/01,174,239,1,1,1,1,1
96,built-ins/Array/isArray/15.4.3.2-1-7.js,2018/02/01,174,239,1,1,1,1,1
97,built-ins/Array/isArray/15.4.3.2-1-8.js,2017/06/01,170,235,1,1,1,1,1
98,built-ins/Array/isArray/15.4.3.2-2-1.js,2018/02/01,176,241,1,1,1,1,1
99,built-ins/Array/isArray/15.4.3.2-2-2.js,2018/02/01,178,243,1,1,1,1,1
100,built-ins/Array/isArray/15.4.3.2-2-3.js,2018/02/01,180,245,1,1,1,1,1
101,built-ins/Array/isArray/descriptor.js,2017/01/01,444,529,1,1,1,1,1
102,built-ins/Array/isArray/name.js,2018/01/01,458,542,1,1,0,0,1
103,built-ins/Array/length.js,2017/04/01,455,539,0,0,0,0,1
104,built-ins/Array/length/15.4.5.1-3.d-1.js,2018/02/01,174,239,1,1,1,1,1
105,built-ins/Array/length/15.4.5.1-3.d-2.js,2018/02/01,174,239,1,1,1,1,1
106,built-ins/Array/length/15.4.5.1-3.d-3.js,2018/02/01,173,237,1,1,1,1,1
107,built-ins/Array/length/S15.4.2.2_A1.1_T1.js,2018/01/01,184,250,1,1,1,1,1
108,built-ins/Array/length/S15.4.2.2_A1.1_T2.js,2018/01/01,182,248,1,1,1,1,1
109,built-ins/Array/length/S15.4.2.2_A1.1_T3.js,2018/01/01,180,245,0,0,1,1,1
110,built-ins/Array/length/S15.4.2.2_A1.2_T1.js,2017/06/01,179,245,1,1,1,1,1
111,built-ins/Array/length/S15.4.2.2_A2.1_T1.js,2018/01/01,192,258,1,1,1,1,1
112,built-ins/Array/length/S15.4.2.2_A2.2_T1.js,2018/02/01,207,270,1,1,1,1,1
113,built-ins/Array/length/S15.4.2.2_A2.2_T2.js,2018/02/01,211,274,1,1,1,1,1
114,built-ins/Array/length/S15.4.2.2_A2.2_T3.js,2018/02/01,207,270,1,1,1,1,1
115,built-ins/Array/length/S15.4.2.2_A2.3_T1.js,2018/01/01,200,261,1,1,1,1,1
116,built-ins/Array/length/S15.4.2.2_A2.3_T2.js,2018/01/01,203,264,1,1,1,1,1
117,built-ins/Array/length/S15.4.2.2_A2.3_T3.js,2018/01/01,203,264,1,1,1,1,1
118,built-ins/Array/length/S15.4.2.2_A2.3_T4.js,2018/01/01,229,288,1,1,1,1,1
119,built-ins/Array/length/S15.4.2.2_A2.3_T5.js,2018/01/01,229,288,1,1,1,1,1
120,built-ins/Array/length/S15.4.4_A1.3_T1.js,2017/06/01,176,241,1,1,1,1,1
121,built-ins/Array/length/S15.4.5.1_A1.1_T1.js,2018/02/01,213,276,1,1,1,1,1
122,built-ins/Array/length/S15.4.5.1_A1.1_T2.js,2018/02/01,231,293,1,1,1,1,1
123,built-ins/Array/length/S15.4.5.1_A1.2_T1.js,2018/02/01,198,263,1,1,1,1,1
124,built-ins/Array/length/S15.4.5.1_A1.2_T3.js,2018/02/01,193,259,1,1,1,1,1
125,built-ins/Array/length/S15.4.5.1_A1.3_T1.js,2017/06/01,219,285,1,1,0,0,1
126,built-ins/Array/length/S15.4.5.1_A1.3_T2.js,2018/02/01,328,392,0.5,0.5,0,0,0
127,built-ins/Array/length/define-own-prop-length-overflow-order.js,2020/09/01,192,263,0,0,0.5,0.5,1
128,built-ins/Array/name.js,2017/04/01,459,543,1,1,0,0,1
129,built-ins/Array/of/construct-this-with-the-number-of-arguments.js,2018/01/01,200,264,0,0,0,0,1
130,built-ins/Array/of/creates-a-new-array-from-arguments.js,2018/01/01,207,271,0,0,0,0,1
131,built-ins/Array/of/does-not-use-prototype-properties.js,2018/01/01,190,254,0,0,0,0,1
132,built-ins/Array/of/does-not-use-set-for-indices.js,2020/02/01,467,551,0,0,0,0,1
133,built-ins/Array/of/length.js,2019/08/01,449,534,0,0,0,0,1
134,built-ins/Array/of/name.js,2019/08/01,450,535,0,0,0,0,1
135,built-ins/Array/of/of.js,2019/08/01,448,534,0,0,0,0,1
136,built-ins/Array/of/return-a-custom-instance.js,2019/08/01,201,266,0,0,0,0,1
137,built-ins/Array/of/return-abrupt-from-contructor.js,2019/08/01,187,253,0,0,0,0,1
138,built-ins/Array/of/return-abrupt-from-data-property.js,2019/08/01,206,272,1,1,1,1,1
139,built-ins/Array/of/return-abrupt-from-setting-length.js,2019/08/01,186,252,0,0,0,0,1
140,built-ins/Array/of/sets-length.js,2019/08/01,197,263,0,0,0,0,1
141,built-ins/Array/prop-desc.js,2019/05/01,456,542,0,0,1,1,1
142,built-ins/Array/property-cast-boolean-primitive.js,2018/01/01,180,243,0.75,0.75,1,1,1
143,built-ins/Array/property-cast-nan-infinity.js,2018/01/01,194,256,0,0,1,1,1
144,built-ins/Array/property-cast-number.js,2018/01/01,201,264,0,0,1,1,1
145,built-ins/Array/proto.js,2017/04/01,175,240,1,1,1,1,1
146,built-ins/Array/prototype/Symbol.iterator.js,2019/08/01,451,536,0,0,0,0,1
147,built-ins/Array/prototype/Symbol.unscopables/prop-desc.js,2019/08/01,447,533,0,0,0,0,1
148,built-ins/Array/prototype/concat/Array.prototype.concat_no-prototype.js,2019/08/01,169,235,1,1,1,1,1
149,built-ins/Array/prototype/concat/create-ctor-non-object.js,2019/08/01,218,280,0,0,0,0,1
150,built-ins/Array/prototype/concat/create-ctor-poisoned.js,2019/08/01,186,250,0,0,0,0,1
151,built-ins/Array/prototype/concat/create-species-abrupt.js,2019/08/01,192,258,0,0,0,0,1
152,built-ins/Array/prototype/concat/create-species-non-ctor.js,2019/08/01,191,255,0,0,0,0,1
153,built-ins/Array/prototype/concat/create-species-poisoned.js,2019/08/01,191,255,0,0,0,0,1
154,built-ins/Array/prototype/concat/length.js,2017/04/01,463,547,0,0,0,0,1
155,built-ins/Array/prototype/concat/name.js,2019/08/01,457,541,1,1,0,0,1
156,built-ins/Array/prototype/concat/prop-desc.js,2017/04/01,452,556,1,1,1,1,1
157,built-ins/Array/prototype/constructor.js,2017/04/01,456,540,1,1,1,1,1
158,built-ins/Array/prototype/copyWithin/call-with-boolean.js,2020/09/01,178,243,0,0,0,0,1
159,built-ins/Array/prototype/copyWithin/coerced-values-end.js,2019/08/01,249,318,0,0,0,0,1
160,built-ins/Array/prototype/copyWithin/coerced-values-start.js,2019/08/01,258,325,0,0,0,0,1
161,built-ins/Array/prototype/copyWithin/coerced-values-target.js,2019/08/01,258,325,0,0,0,0,1
162,built-ins/Array/prototype/copyWithin/fill-holes.js,2019/08/01,178,242,0,0,0,0,1
163,built-ins/Array/prototype/copyWithin/length-near-integer-limit.js,2020/02/01,203,265,0,0,0,0,1
164,built-ins/Array/prototype/copyWithin/length.js,2019/08/01,452,537,0,0,0,0,1
165,built-ins/Array/prototype/copyWithin/name.js,2019/08/01,454,539,0,0,0,0,1
166,built-ins/Array/prototype/copyWithin/negative-end.js,2019/08/01,262,329,0,0,0,0,1
